Name,Path,Size,Deleted
.gitignore,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\,32 bytes,2018-02-27 21:24:35
trashFile.csv,C:\Users\dmk16\source\repos\PythonApplication4\PythonApplication4\,1389 bytes,2018-03-04 00:07:50
package.json,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\,411 bytes,2018-02-20 12:50:21
trashFile.csv,C:\Users\dmk16\source\repos\PythonApplication4\PythonApplication4\,25 bytes,2018-03-03 23:59:41
package-lock.json,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\,370852 bytes,2018-02-20 12:50:06
package-lock.json,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\,360666 bytes,2018-02-20 12:50:04
package-lock.json,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\,370852 bytes,2018-02-20 12:50:15
package.json,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\,542 bytes,2018-02-27 21:23:09
package-lock.json,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\,370852 bytes,2018-02-20 12:50:10
AddToAccounts.js,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\src\components\,251 bytes,2018-02-25 23:58:56
Journalize.js,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\src\components\,0 bytes,2018-03-04 19:02:46
package.json,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\,429 bytes,2018-02-20 12:50:25
package-lock.json,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\,370852 bytes,2018-02-20 12:50:16
package-lock.json,C:\Users\dmk16\Documents\GitHub\LegibleAccounting\client\,364788 bytes,2018-02-27 21:23:05
